C:\AXE_Projects\HarnessDemo\ObjectMap\SystemClass.ObjectMap.xml,String.Length,0,ClsTypeProperty
C:\AXE_Projects\HarnessDemo\ObjectMap\SystemClass.ObjectMap.xml,String.Value,0,ClsTypeParameter
C:\AXE_Projects\HarnessDemo\ObjectMap\SystemClass.ObjectMap.xml,ToUpper,0,ClsMethod
C:\AXE_Projects\HarnessDemo\ObjectMap\SystemClass.ObjectMap.xml,ToUpper.ReturnValue,0,ClsMethodResult
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User,0,DbQuery
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.DateOfBirth,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.DOB,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.Email,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.Gender,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.MailingList,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.Name,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.ReturnValue,0,DbQueryResult
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.Title,0,DbResultNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoDB.ObjectMap.xml,User.UserID,0,DbQueryParameter
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,UserDetails,0,XmlDocument
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,UserDetails.Email,0,XmlNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,UserDetails.Id,0,XmlNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,UserDetails.Name,0,XmlNode
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,XMLDocument,0,XmlDocument
C:\AXE_Projects\HarnessDemo\ObjectMap\DemoXML.ObjectMap.xml,XMLDocument.XMLNode,0,XmlNode
